FF,Q,SE,shape,uuid
0.05,285827.57595816726,0.15197237003631747,CC,20241223105748_bf0704da204c412b87e688fd206681fe
0.05,59275.376261461584,0.7227349425040124,RIT,20241223105933_e3c2985b6a574897a466ba9574c25e98
0.060000000000000005,324570.43622428185,0.19851461840792317,CC,20241223110116_04c26779dd10417e9d21b60755781f9c
0.060000000000000005,39139.58342889235,0.8458834788934477,RIT,20241223110300_edfc57ba7bcf4063b091024efa9b8214
0.07,340935.88976010174,0.2429936798716006,CC,20241223110440_d095c90362814426b7c1f3748f3ea323
0.07,26266.831871305843,0.9062638051333781,RIT,20241223110625_a063c4dd0abc4d0cafcac9ccb3986de6
0.08,332379.1826777029,0.2828433718371185,CC,20241223110804_cb66ae7803a24de2b0701bd2b1ae9f3a
0.08,18454.45744067443,0.9361134877433683,RIT,20241223110948_72a3b612171a4316aeee9d3014314642
0.09,304529.01150452404,0.3167966520348856,CC,20241223111125_7137017a53d84bee8912cae23b556c40
0.09,13685.089959253404,0.9513837401699212,RIT,20241223111308_222624706b8d44f6b58c88a4273c4da0
0.1,267468.8734766381,0.3449115737075138,CC,20241223111445_61cafe478569484b9244613eefc1647c
0.1,10682.012574602848,0.9593509650244663,RIT,20241223111629_575a952adf4c4d69838ea01575190c80
0.11,226750.8859680286,0.3667712658649033,CC,20241223111807_0b1cc091239e4c61892993a7161639c5
0.11,8727.985584485732,0.9629003941854704,RIT,20241223111950_11dd9e0188c544a8ba2ffa5f4624a4c7
0.12000000000000001,186764.13940081932,0.3826267818495609,CC,20241223112126_beaaa3c6421f4db0ac1f8e666bb2c5d1
0.12000000000000001,7422.125740404079,0.9634766396255169,RIT,20241223112312_6af591b99f844f27a03eddb0854a1fc4
0.13,150107.61707696752,0.3929304469104219,CC,20241223112448_7517d47b08454b98bbae1baeaee66288
0.13,6535.833686044046,0.961629273912214,RIT,20241223112635_38a3c3c206c64581af410a81f17b2034
0.14,118257.29616458026,0.39822138304076393,CC,20241223112809_58fe25f821a141f3a1bc145318c4b376
0.14,5932.127360061834,0.9573833697824814,RIT,20241223112945_925d4af6993c47039c25164457c1f4bc
0.15000000000000002,92128.29737114736,0.3994191916652333,CC,20241223113124_bf4b3c6aae91442a98253d700f99c1cd
0.15000000000000002,5524.862093702648,0.9506111842423929,RIT,20241223113303_3df0048b8b43421aa5217b4bd42d8a8b
0.16,,,CC,20241223113439_097cd2d055154732bea67a3044fb787f
0.16,,,RIT,20241223113611_91ac4b7373844528a701e794ef3bb877
0.16999999999999998,14.008193497491524,1.00258431200325,CC,20241223113740_d21cdbd344934938b722e6ff4ea75472
0.16999999999999998,17.15932013853433,1.0031357112274513,RIT,20241223114412_7de291e36e214980894643cf2d5444de
0.18,41261.82227410911,0.3808876819948944,CC,20241223115800_1daa8646621c4898a77cfe45fa9b3ffc
0.18,4953.925162675111,0.9059166978135418,RIT,20241223115940_bc26a9dbb0944c63bce534beafe7553b
0.19,31505.97841428234,0.36953458749189516,CC,20241223120116_2dfd65e6f016469a993f66c7d4952905
0.19,4869.172494920572,0.8793934338338609,RIT,20241223120252_403706cd2a22453785c5916e5cd32e89
0.2,,,CC,20241223120427_a675e7f853a94ab29916ff0515e49eda
0.2,,,RIT,20241223120602_7584898a282e4400a63e424e1606a9cf
0.21000000000000002,,,CC,20241223120731_53a866bec5b74064929dcfa28bc291a3
0.21000000000000002,11.85510829888482,1.0068782203086202,RIT,20241223120902_ef7774ae9d87442bb17037eeba7d76da
0.22000000000000003,,,CC,20241223121551_5705659cded149e99abb835f10dd8523
0.22000000000000003,,,RIT,20241223121723_0f961d7f1688483caea4e88cfbefb794
0.22999999999999998,,,CC,20241223121847_763e1871e87240f6977c65fad7a9331f
0.22999999999999998,,,RIT,20241223122020_fd501d95e7e44fbe86c35203da3c223b
0.24,,,CC,20241223122147_a1cb28fb6b5546d2be3a6651729c419b
0.24,,,RIT,20241223122322_9521dff9317242ae96a988c64185ed60
0.25,,,CC,20241223122453_5f48bacea3ca4b7284569f40990dbe2f
0.25,,,RIT,20241223122629_9c48514367cd4619b1cd0e2b3e900d7a
