wl,n,k
0.26049,3.50E+00,3.78E+00
0.26159,3.60E+00,3.71E+00
0.2627,3.69E+00,3.64E+00
0.26381,3.77E+00,3.56E+00
0.26494,3.85E+00,3.47E+00
0.26608,3.91E+00,3.38E+00
0.26723,3.97E+00,3.28E+00
0.26838,4.01E+00,3.18E+00
0.26955,4.04E+00,3.08E+00
0.27073,4.07E+00,2.98E+00
0.27191,4.08E+00,2.89E+00
0.27311,4.08E+00,2.80E+00
0.27432,4.08E+00,2.72E+00
0.27554,4.08E+00,2.64E+00
0.27677,4.07E+00,2.57E+00
0.27801,4.05E+00,2.50E+00
0.27926,4.03E+00,2.44E+00
0.28053,4.01E+00,2.38E+00
0.2818,3.99E+00,2.33E+00
0.28309,3.97E+00,2.28E+00
0.28439,3.94E+00,2.24E+00
0.2857,3.92E+00,2.20E+00
0.28702,3.90E+00,2.17E+00
0.28835,3.87E+00,2.14E+00
0.2897,3.85E+00,2.11E+00
0.29106,3.83E+00,2.09E+00
0.29244,3.81E+00,2.06E+00
0.29382,3.79E+00,2.04E+00
0.29522,3.77E+00,2.03E+00
0.29663,3.76E+00,2.01E+00
0.29806,3.74E+00,2.00E+00
0.2995,3.72E+00,1.98E+00
0.30095,3.71E+00,1.97E+00
0.30242,3.70E+00,1.96E+00
0.3039,3.69E+00,1.95E+00
0.3054,3.67E+00,1.95E+00
0.30691,3.66E+00,1.94E+00
0.30844,3.65E+00,1.93E+00
0.30998,3.65E+00,1.93E+00
0.31154,3.64E+00,1.93E+00
0.31311,3.63E+00,1.92E+00
0.3147,3.63E+00,1.92E+00
0.31631,3.62E+00,1.92E+00
0.31793,3.62E+00,1.92E+00
0.31957,3.62E+00,1.92E+00
0.32122,3.62E+00,1.92E+00
0.3229,3.62E+00,1.92E+00
0.32459,3.62E+00,1.93E+00
0.3263,3.62E+00,1.93E+00
0.32802,3.62E+00,1.94E+00
0.32977,3.63E+00,1.94E+00
0.33153,3.63E+00,1.95E+00
0.33331,3.64E+00,1.95E+00
0.33512,3.65E+00,1.96E+00
0.33694,3.66E+00,1.97E+00
0.33878,3.67E+00,1.98E+00
0.34064,3.68E+00,1.99E+00
0.34252,3.70E+00,2.00E+00
0.34442,3.72E+00,2.01E+00
0.34635,3.74E+00,2.02E+00
0.34829,3.76E+00,2.04E+00
0.35026,3.79E+00,2.05E+00
0.35225,3.83E+00,2.06E+00
0.35426,3.87E+00,2.08E+00
0.3563,3.91E+00,2.09E+00
0.35836,3.96E+00,2.10E+00
0.36044,4.02E+00,2.10E+00
0.36255,4.08E+00,2.09E+00
0.36468,4.14E+00,2.07E+00
0.36684,4.20E+00,2.04E+00
0.36903,4.25E+00,2.00E+00
0.37124,4.30E+00,1.97E+00
0.37347,4.34E+00,1.93E+00
0.37574,4.39E+00,1.90E+00
0.37803,4.43E+00,1.87E+00
0.38035,4.49E+00,1.84E+00
0.38269,4.54E+00,1.81E+00
0.38507,4.61E+00,1.76E+00
0.38748,4.67E+00,1.69E+00
0.38991,4.73E+00,1.60E+00
0.39238,4.77E+00,1.49E+00
0.39488,4.80E+00,1.38E+00
0.39741,4.80E+00,1.27E+00
0.39998,4.79E+00,1.17E+00
0.40257,4.77E+00,1.08E+00
0.4052,4.74E+00,9.96E-01
0.40787,4.71E+00,9.25E-01
0.41057,4.67E+00,8.63E-01
0.41331,4.63E+00,8.08E-01
0.41608,4.59E+00,7.59E-01
0.41889,4.56E+00,7.15E-01
0.42174,4.52E+00,6.76E-01
0.42463,4.49E+00,6.40E-01
0.42756,4.45E+00,6.08E-01
0.43053,4.42E+00,5.79E-01
0.43354,4.39E+00,5.52E-01
0.43659,4.36E+00,5.26E-01
0.43969,4.33E+00,5.03E-01
0.44283,4.30E+00,4.81E-01
0.44602,4.27E+00,4.61E-01
0.44925,4.24E+00,4.43E-01
0.45253,4.22E+00,4.26E-01
0.45586,4.19E+00,4.10E-01
0.45923,4.17E+00,3.93E-01
0.46266,4.15E+00,3.79E-01
0.46614,4.12E+00,3.65E-01
0.46967,4.10E+00,3.51E-01
0.47325,4.08E+00,3.40E-01
0.47689,4.06E+00,3.26E-01
0.48059,4.04E+00,3.13E-01
0.48435,4.02E+00,3.01E-01
0.48816,4.00E+00,2.92E-01
0.49203,3.99E+00,2.81E-01
0.49597,3.97E+00,2.71E-01
0.49997,3.95E+00,2.63E-01
0.50403,3.94E+00,2.53E-01
0.50817,3.92E+00,2.44E-01
0.51237,3.91E+00,2.36E-01
0.51664,3.89E+00,2.28E-01
0.52098,3.88E+00,2.21E-01
0.52539,3.86E+00,2.14E-01
0.52988,3.85E+00,2.08E-01
0.53445,3.84E+00,2.01E-01
0.5391,3.83E+00,1.94E-01
0.54383,3.82E+00,1.85E-01
0.54864,3.80E+00,1.75E-01
0.55354,3.79E+00,1.66E-01
0.55853,3.78E+00,1.58E-01
0.5636,3.76E+00,1.51E-01
0.56877,3.75E+00,1.45E-01
0.57404,3.73E+00,1.39E-01
0.5794,3.72E+00,1.33E-01
0.58487,3.71E+00,1.27E-01
0.59044,3.70E+00,1.21E-01
0.59612,3.69E+00,1.15E-01
0.60191,3.68E+00,1.08E-01
0.60781,3.67E+00,1.01E-01
0.61382,3.66E+00,9.38E-02
0.61996,3.66E+00,8.74E-02
0.62623,3.66E+00,7.67E-02
0.63262,3.66E+00,4.46E-02
0.63914,3.63E+00,2.28E-02
0.64579,3.61E+00,1.00E-02
0.65259,3.59E+00,4.56E-03
0.65954,3.57E+00,3.70E-03
0.66663,3.55E+00,1.65E-03
0.67387,3.53E+00,7.79E-04
0.68128,3.52E+00,3.11E-04
0.68885,3.50E+00,1.34E-04
0.69659,3.49E+00,1.86E-04
0.7045,3.48E+00,1.03E-04
0.7126,3.46E+00,2.80E-05
0.72089,3.45E+00,0.00E+00
0.72937,3.44E+00,0.00E+00
0.73805,3.43E+00,0.00E+00
0.74694,3.42E+00,0.00E+00
0.75605,3.41E+00,0.00E+00
0.76539,3.40E+00,0.00E+00
0.77495,3.39E+00,0.00E+00
0.78476,3.38E+00,0.00E+00
0.79482,3.37E+00,0.00E+00
0.80515,3.36E+00,0.00E+00
0.81574,3.35E+00,0.00E+00
0.82662,3.34E+00,0.00E+00
0.83779,3.34E+00,0.00E+00
0.84926,3.33E+00,0.00E+00
0.86106,3.32E+00,0.00E+00
0.87319,3.32E+00,0.00E+00
0.88566,3.31E+00,0.00E+00
0.8985,3.30E+00,0.00E+00
0.91171,3.30E+00,0.00E+00
0.92532,3.29E+00,0.00E+00
0.93934,3.29E+00,0.00E+00
0.95379,3.28E+00,0.00E+00
0.96869,3.28E+00,0.00E+00
0.98407,3.27E+00,0.00E+00
0.99994,3.27E+00,0.00E+00
1.01633,3.27E+00,0.00E+00
1.03327,3.26E+00,0.00E+00
1.05078,3.26E+00,0.00E+00
1.0689,3.25E+00,0.00E+00
1.08765,3.25E+00,0.00E+00
1.10708,3.24E+00,0.00E+00
1.12721,3.24E+00,0.00E+00
1.14808,3.23E+00,0.00E+00
1.16974,3.23E+00,0.00E+00
1.19224,3.22E+00,0.00E+00
1.21561,3.22E+00,0.00E+00
1.23993,3.21E+00,0.00E+00
1.26523,3.21E+00,0.00E+00
1.29159,3.21E+00,0.00E+00
1.31907,3.20E+00,0.00E+00
1.34775,3.20E+00,0.00E+00
1.3777,3.19E+00,0.00E+00
1.40901,3.19E+00,0.00E+00
1.44177,3.19E+00,0.00E+00
1.4761,3.18E+00,0.00E+00
1.5121,3.18E+00,0.00E+00
1.54991,3.18E+00,0.00E+00
1.58965,3.17E+00,0.00E+00
1.63148,3.17E+00,0.00E+00
1.67558,3.17E+00,0.00E+00
1.72212,3.17E+00,0.00E+00
1.77132,3.16E+00,0.00E+00
1.82342,3.16E+00,0.00E+00
1.87868,3.16E+00,0.00E+00
